name,regime,kd_mode,alpha,ner_scheme,pretrain,pair,seed,dev_auprc,threshold_dev,train_pos_rate,test500_auprc,test500_auc,test500_f1_devt,test500_f1_priort,test500_t_prior,ep_relax_auprc,ep_relax_auc,ep_relax_f1_devt,ep_relax_f1_priort,ep_relax_t_prior,test299_auprc,test299_auc,test299_f1_devt,test299_f1_priort,test299_t_prior
S_kd-fixed_a0.3_full_typed_pre2_s1,S,fixed,0.3,full_typed,2,False,1,0.35613690334565623,0.3,0.08479047181311325,0.8888340960690915,0.8898097141650011,0.8372943327239488,0.8307692307692308,0.06734210460518948,0.8033482344278872,0.8633814102564102,0.8181818181818182,0.732824427480916,0.0912118531257493,0.8490802544371036,0.859121255864309,0.817910447761194,0.7883211678832117,0.07175320145603362
S_kd-fixed_a0.5_full_pre0_s1,S,fixed,0.5,full,0,False,1,0.3402547139952133,0.28,0.08479047181311325,0.8889942226384424,0.8918409463917192,0.8561151079136691,0.8305343511450382,0.06734210460518948,0.7804191266090016,0.8621794871794872,0.8,0.7384615384615385,0.0912118531257493,0.8423302991818598,0.8536178274990978,0.8298507462686567,0.7862407862407862,0.07175320145603362
S_kd-fixed_a0.5_full_pre2_s1,S,fixed,0.5,full,2,False,1,0.36093711180396437,0.48000000000000004,0.08479047181311325,0.8712150554857095,0.8887047238336665,0.8266666666666667,0.8318042813455657,0.06734210460518948,0.7718963980208359,0.858573717948718,0.8301886792452831,0.7272727272727273,0.0912118531257493,0.8241727406019117,0.8540238181162035,0.7948717948717948,0.7815533980582524,0.07175320145603362
S_kd-fixed_a0.5_full_typed_pre0_s1,S,fixed,0.5,full_typed,0,False,1,0.33606018434913554,0.21000000000000002,0.08479047181311325,0.8781325725495657,0.8845122605177205,0.8502581755593803,0.8204334365325078,0.06734210460518948,0.7662520581078467,0.8573717948717949,0.7863247863247863,0.75,0.0912118531257493,0.8299561853602153,0.8475279682425116,0.8268156424581006,0.7764127764127764,0.07175320145603362
S_kd-fixed_a0.5_full_typed_pre2_s1,S,fixed,0.5,full_typed,2,False,1,0.3584540018116394,0.26,0.08479047181311325,0.885665058363751,0.8916134483823267,0.8443649373881932,0.8343558282208589,0.06734210460518948,0.7861855371160457,0.8521634615384615,0.8,0.7384615384615385,0.0912118531257493,0.8430529445093475,0.8565048718874053,0.8187134502923976,0.7921760391198044,0.07175320145603362
S_kd-fixed_a0.7_full_pre0_s1,S,fixed,0.7,full,0,False,1,0.331811297805851,0.32,0.08479047181311325,0.8762476471401865,0.8883147272461367,0.8581818181818182,0.8267477203647416,0.06734210460518948,0.7680949955179116,0.8573717948717949,0.8076923076923077,0.7441860465116279,0.0912118531257493,0.8260519186690745,0.8482497293395886,0.8303030303030303,0.7843137254901961,0.07175320145603362
S_kd-fixed_a0.7_full_pre2_s1,S,fixed,0.7,full,2,False,1,0.36237735557309864,0.5700000000000001,0.08479047181311325,0.88356449758687,0.8909147044963357,0.7730061349693251,0.8317757009345794,0.06734210460518948,0.7776963570463433,0.859375,0.7391304347826086,0.7619047619047619,0.0912118531257493,0.8362884998350888,0.8602490075784914,0.7279151943462897,0.8039702233250621,0.07175320145603362
S_kd-fixed_a0.7_full_typed_pre0_s1,S,fixed,0.7,full_typed,0,False,1,0.3293885890646518,0.22,0.08479047181311325,0.8815841696411112,0.889874713596256,0.8591304347826086,0.8282208588957055,0.06734210460518948,0.8078080404222738,0.8653846153846154,0.7894736842105263,0.75,0.0912118531257493,0.8338243942134418,0.8477084085167809,0.8342857142857143,0.7802469135802469,0.07175320145603362
S_kd-fixed_a0.7_full_typed_pre2_s1,S,fixed,0.7,full_typed,2,False,1,0.36149038115626936,0.39,0.08479047181311325,0.8838081737587282,0.8871934870569882,0.8131021194605009,0.8317757009345794,0.06734210460518948,0.8015391502268877,0.8645833333333333,0.803921568627451,0.7559055118110236,0.0912118531257493,0.8439474521282494,0.8574521833273187,0.7831715210355987,0.7931034482758621,0.07175320145603362
S_kd-v1_bug_a0.3_full_pre0_s1,S,v1_bug,0.3,full,0,False,1,0.35249388387539465,0.3,0.08479047181311325,0.8790314932738393,0.8809697915143242,0.8212927756653993,0.8210862619808307,0.06734210460518948,0.7922444709816181,0.8505608974358974,0.803921568627451,0.7540983606557377,0.0912118531257493,0.8290115340530069,0.8399043666546373,0.7741935483870968,0.7755102040816326,0.07175320145603362
S_kd-v1_bug_a0.3_full_pre2_s1,S,v1_bug,0.3,full,2,False,1,0.35709934414876227,0.21000000000000002,0.08479047181311325,0.8733730872880691,0.8885584751133428,0.852112676056338,0.8476190476190476,0.06734210460518948,0.8058535095729074,0.8565705128205129,0.8035714285714286,0.746031746031746,0.0912118531257493,0.8358699581491835,0.854971129556117,0.8173913043478261,0.817258883248731,0.07175320145603362
S_kd-v1_bug_a0.3_full_typed_pre0_s1,S,v1_bug,0.3,full_typed,0,False,1,0.3473781720936863,0.17,0.08479047181311325,0.8775569814131328,0.8902484603259722,0.8480565371024735,0.8529411764705882,0.06734210460518948,0.7767249482186933,0.8525641025641026,0.8108108108108109,0.773109243697479,0.0912118531257493,0.8359874510339014,0.8548809094189823,0.8231884057971014,0.8222811671087533,0.07175320145603362
S_kd-v1_bug_a0.3_full_typed_pre2_s1,S,v1_bug,0.3,full_typed,2,False,1,0.35708255698260355,0.15000000000000002,0.08479047181311325,0.8812736811505978,0.8908009554916394,0.8581196581196581,0.8427672955974843,0.06734210460518948,0.7983898825802607,0.8621794871794871,0.8103448275862069,0.7619047619047619,0.0912118531257493,0.8439653503869111,0.8599332370985204,0.8333333333333334,0.8040201005025126,0.07175320145603362
S_kd-v1_bug_a0.5_full_pre0_s1,S,v1_bug,0.5,full,0,False,1,0.34460887201994733,0.23,0.08479047181311325,0.8759521182368878,0.884349761939583,0.8436363636363636,0.819935691318328,0.06734210460518948,0.7744335634783827,0.8537660256410255,0.8148148148148148,0.7377049180327869,0.0912118531257493,0.8263325748917946,0.8427914110429447,0.8121212121212121,0.7844155844155845,0.07175320145603362
S_kd-v1_bug_a0.5_full_pre2_s1,S,v1_bug,0.5,full,2,False,1,0.36364892601817156,0.15000000000000002,0.08479047181311325,0.8781659748769199,0.8890297209899414,0.8513513513513513,0.8409448818897638,0.06734210460518948,0.8148503123359935,0.8585737179487178,0.7863247863247863,0.768,0.0912118531257493,0.8439565585895432,0.85943702634428,0.825136612021858,0.8070175438596491,0.07175320145603362
S_kd-v1_bug_a0.5_full_typed_pre0_s1,S,v1_bug,0.5,full_typed,0,False,1,0.3414185735094333,0.23,0.08479047181311325,0.8705290539387901,0.8747298461138465,0.8283582089552238,0.8291873963515755,0.06734210460518948,0.7717449954435056,0.844551282051282,0.819047619047619,0.7563025210084033,0.0912118531257493,0.821676946056792,0.8357091302778781,0.7899686520376176,0.8021390374331551,0.07175320145603362
S_kd-v1_bug_a0.5_full_typed_pre2_s1,S,v1_bug,0.5,full_typed,2,False,1,0.36725109329144207,0.09,0.08479047181311325,0.8776318314195186,0.8835210191910821,0.8341543513957307,0.8341384863123994,0.06734210460518948,0.7820349426892114,0.8629807692307692,0.7559055118110236,0.7559055118110236,0.0912118531257493,0.8418890308386106,0.8570461927102129,0.8051948051948052,0.8041237113402062,0.07175320145603362
S_kd-v1_bug_a0.7_full_pre0_s1,S,v1_bug,0.7,full,0,False,1,0.3398993798430642,0.13,0.08479047181311325,0.8836175781403004,0.8860884967256536,0.8375209380234506,0.8242811501597445,0.06734210460518948,0.7836935981944869,0.8537660256410255,0.7563025210084033,0.7540983606557377,0.0912118531257493,0.8361696259758071,0.8455882352941175,0.8,0.7855297157622739,0.07175320145603362
S_kd-v1_bug_a0.7_full_pre2_s1,S,v1_bug,0.7,full,2,False,1,0.368841925990551,0.25,0.08479047181311325,0.8679697388333707,0.8899722127431385,0.852112676056338,0.8485804416403786,0.06734210460518948,0.7801725189971959,0.8565705128205128,0.7964601769911505,0.768,0.0912118531257493,0.8272566009153433,0.8552417899675208,0.8231884057971014,0.810126582278481,0.07175320145603362
S_kd-v1_bug_a0.7_full_typed_pre0_s1,S,v1_bug,0.7,full_typed,0,False,1,0.334508270335407,0.15000000000000002,0.08479047181311325,0.8732133230914386,0.8763223321795934,0.8391608391608392,0.8273615635179153,0.06734210460518948,0.7836111997557367,0.8457532051282052,0.7719298245614035,0.7603305785123967,0.0912118531257493,0.8242806687808082,0.8363406712378203,0.8080229226361032,0.8,0.07175320145603362
S_kd-v1_bug_a0.7_full_typed_pre2_s1,S,v1_bug,0.7,full_typed,2,False,1,0.3520887522952754,0.11,0.08479047181311325,0.9029920558110995,0.8975446464843433,0.85,0.8352,0.06734210460518948,0.825967716709909,0.8762019230769231,0.7796610169491526,0.7868852459016393,0.0912118531257493,0.8572701378944995,0.863722482858174,0.8152173913043478,0.8020565552699229,0.07175320145603362
