name,regime,kd_mode,alpha,ner_scheme,pretrain,pair,seed,dev_auprc,threshold_dev,train_pos_rate,test500_auprc,test500_auc,test500_f1_devt,test500_f1_priort,test500_t_prior,ep_relax_auprc,ep_relax_auc,ep_relax_f1_devt,ep_relax_f1_priort,ep_relax_t_prior,test299_auprc,test299_auc,test299_f1_devt,test299_f1_priort,test299_t_prior
D2_pair-1_kd-fixed_a0.3_full_typed_pre0_s3,D,fixed,0.3,full_typed,0,True,3,0.34462949159907935,0.41000000000000003,0.08480402934063518,0.9031961900278216,0.9057183249646565,0.8266666666666667,0.849445324881141,0.06735307755240261,0.8010390731463792,0.875,0.8301886792452831,0.7559055118110236,0.09122633505281665,0.8497814831714203,0.8745037892457598,0.8459214501510574,0.7751196172248804,0.07176483785604898
D2_pair-1_kd-fixed_a0.5_full_typed_pre2_s1,D,fixed,0.5,full_typed,2,True,1,0.3505030377158128,0.32,0.08480402934063518,0.8780997936070188,0.884414761370838,0.7791164658634538,0.840531561461794,0.06735307755240261,0.7986861859323817,0.8537660256410255,0.780952380952381,0.7384615384615385,0.09122633505281665,0.8379620741170157,0.8532118368819921,0.8161993769470405,0.7582938388625592,0.07176483785604898
D2_pair-1_kd-fixed_a0.5_full_typed_pre2_s2,D,fixed,0.5,full_typed,2,True,2,0.33788201905202814,0.16,0.08480402934063518,0.8853558064357636,0.8855522514178001,0.8461538461538461,0.828125,0.06735307755240261,0.7871223232046051,0.8625801282051282,0.7441860465116279,0.6956521739130435,0.09122633505281665,0.840842225667984,0.8511367737278961,0.7949367088607595,0.7488372093023256,0.07176483785604898
D2_pair-1_kd-fixed_a0.5_full_typed_pre2_s3,D,fixed,0.5,full_typed,2,True,3,0.33022593426441005,0.25,0.08480402934063518,0.8747402466612167,0.884154763645818,0.8469387755102041,0.8307692307692308,0.06735307755240261,0.7987035316762727,0.8521634615384616,0.7419354838709677,0.6857142857142857,0.09122633505281665,0.8385474224030209,0.8556477805846264,0.8138297872340425,0.75,0.07176483785604898
D3_pair-0_kd-fixed_a0.5_full_typed_pre2_s1,D,fixed,0.5,full_typed,2,False,1,0.33871622034299054,0.43,0.07721057640968498,0.8836532438667211,0.8880709793789304,0.8464285714285714,0.8070175438596491,0.06121768217222027,0.818770205705749,0.8733974358974359,0.8148148148148148,0.6906474820143885,0.08311004324843828,0.8417473803594354,0.853347167087694,0.8130563798219584,0.7570093457943925,0.06525568078128623
D3_pair-0_kd-fixed_a0.5_full_typed_pre2_s2,D,fixed,0.5,full_typed,2,False,2,0.3109996219143881,0.46,0.07721057640968498,0.8918657384438236,0.8960009099920375,0.8419117647058824,0.8304821150855366,0.06121768217222027,0.8035464654507043,0.8721955128205128,0.8301886792452831,0.7401574803149606,0.08311004324843828,0.8462451065727807,0.8621436304583183,0.8159509202453987,0.7869674185463659,0.06525568078128623
D3_pair-0_kd-fixed_a0.5_full_typed_pre2_s3,D,fixed,0.5,full_typed,2,False,3,0.33363627372222737,0.46,0.07721057640968498,0.8807401257846104,0.8923934415573864,0.8535262206148282,0.8168168168168168,0.06121768217222027,0.7884765699893813,0.8617788461538461,0.8256880733944955,0.7164179104477612,0.08311004324843828,0.8325898952261256,0.8547455792132804,0.8181818181818182,0.7692307692307693,0.06525568078128623
D3_pair-1_kd-fixed_a0.5_full_typed_pre2_s1,D,fixed,0.5,full_typed,2,True,1,0.3305114273434534,0.29000000000000004,0.07721057640968498,0.8811865656051985,0.8760135848811322,0.8414023372287145,0.7976539589442815,0.06121768217222027,0.7809869368807051,0.8449519230769231,0.75,0.6620689655172414,0.08311004324843828,0.8348947930365005,0.8416185492601949,0.7830423940149626,0.7196467991169978,0.06525568078128623
D3_pair-1_kd-fixed_a0.5_full_typed_pre2_s2,D,fixed,0.5,full_typed,2,True,2,0.3053303415716835,0.56,0.07721057640968498,0.9002497713276905,0.8976908952046669,0.8235294117647058,0.8322981366459627,0.06121768217222027,0.806426532955748,0.8786057692307692,0.8076923076923077,0.7058823529411765,0.08311004324843828,0.8591858463495754,0.8706243233489716,0.8037974683544303,0.7465437788018433,0.06525568078128623
D3_pair-1_kd-fixed_a0.5_full_typed_pre2_s3,D,fixed,0.5,full_typed,2,True,3,0.3101080789024421,0.31,0.07721057640968498,0.8835366547214082,0.8929459367230537,0.8526315789473684,0.8305847076461769,0.06121768217222027,0.7712711411823746,0.844551282051282,0.8108108108108109,0.7111111111111111,0.08311004324843828,0.8345872082050952,0.8514074341392999,0.829971181556196,0.7419354838709677,0.06525568078128623
